Model,Classes,LogLik,AIC,AWE,BIC,CAIC,CLC,KIC,SABIC,ICL,Entropy,prob_min,prob_max,Warnings
2,1,-75193.19124,150418.3825,150713.6126,150526.9975,150542.9975,150388.3825,150437.3825,150476.1536,-150526.9975,1,1,1,NA
2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Warning
2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Warning
2,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Warning
2,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Warning
2,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Warning
6,1,-63763.89771,127615.7954,128431.1782,127914.4868,127958.4868,127529.7954,127662.7954,127774.6659,-127914.4868,1,1,1,NA
6,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Warning
6,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Warning
6,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Warning
6,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Warning
6,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Warning
1,1,-75193.19124,150418.3825,150713.6126,150526.9975,150542.9975,150388.3825,150437.3825,150476.1536,-150526.9975,1,1,1,NA
1,2,-70821.37911,141692.7582,142155.516,141862.4692,141887.4692,141644.4225,141720.7582,141783.0255,-142625.3957,0.832156492,0.936675909,0.959943864,NA
1,3,-66265.24701,132598.494,133228.3588,132829.301,132863.301,132532.2433,132635.494,132721.2576,-133715.8706,0.874614471,0.914443755,0.960011953,NA
1,4,-65041.95716,130169.9143,130966.9957,130461.8173,130504.8173,130085.6389,130215.9143,130325.1741,-131706.368,0.862292558,0.881351279,0.94434128,NA
1,5,-63487.10026,127078.2005,128042.4463,127431.1995,127483.1995,126975.9527,127133.2005,127265.9565,-128746.775,0.87606527,0.880114378,0.938146654,NA
1,6,-62137.78066,124397.5613,125528.9613,124811.6562,124872.6562,124277.3512,124461.5613,124617.8135,-126000.8437,0.894922478,0.88629239,0.950644043,NA
3,1,-63763.89771,127615.7954,128431.1782,127914.4868,127958.4868,127529.7954,127662.7954,127774.6659,-127914.4868,1,1,1,NA
3,2,-63765.37338,127636.7468,128619.7408,127996.5341,128049.5341,127532.3274,127692.7468,127828.1134,-128456.9119,0.790343155,0,1,Warning
3,3,-62344.47804,124812.9561,125963.2293,125233.8394,125295.8394,124690.4495,124877.9561,125036.819,-126344.1395,0.746709125,0,0.995406031,Warning
3,4,-61989.71063,124121.4213,125438.8723,124603.4006,124674.4006,123980.9288,124195.4213,124377.7804,-126515.1356,0.753769078,0,0.988608659,Warning
3,5,-61642.33102,123444.662,124929.3067,123987.7373,124067.7373,123286.168,123527.662,123733.5174,-126064.4148,0.75296614,0,0.988792273,Warning
3,6,-60319.78483,120817.5697,122469.4135,121421.7409,121510.7409,120641.0682,120909.5697,121138.9212,-123959.115,0.749296097,0,0.943151918,Warning